Role Code,Role Name,Tier,Priority,Region,Country,City,GOVO/GOGO Hourly Rate [USD],Monthly Billable Hours
A1B8785,Analog/Mixed Signal,L1,High,APAC,India,Bangalore,$8.00,180.00
A2B8786,Analog/Mixed Signal,L2,High,APAC,India,Bangalore,$33.00,180.00
A3B8787,Analog/Mixed Signal,L3,High,APAC,India,Bangalore,$36.00,180.00
A4B8788,Analog/Mixed Signal,L4,High,APAC,India,Bangalore,$40.00,180.00
A5B8789,Analog/Mixed Signal,L5,High,APAC,India,Bangalore,$44.00,180.00
A1T7000,Analog/Mixed Signal,L1,High,APAC,Taiwan,Taiwan - All,$40.00,160.00
A2T7001,Analog/Mixed Signal,L2,High,APAC,Taiwan,Taiwan - All,$45.00,160.00
A3T7002,Analog/Mixed Signal,L3,High,APAC,Taiwan,Taiwan - All,$50.00,160.00
A4T7003,Analog/Mixed Signal,L4,High,APAC,Taiwan,Taiwan - All,$56.00,160.00
A5T7004,Analog/Mixed Signal,L5,High,APAC,Taiwan,Taiwan - All,$65.00,160.00
A1C7085,Analog/Mixed Signal,L1,High,NA,United States,California,$110.00,160.00
A2C7086,Analog/Mixed Signal,L2,High,NA,United States,California,$130.00,160.00
A3C7087,Analog/Mixed Signal,L3,High,NA,United States,California,$155.00,160.00
A4C7088,Analog/Mixed Signal,L4,High,NA,United States,California,$175.00,160.00
A5C7089,Analog/Mixed Signal,L5,High,NA,United States,California,$195.00,160.00
A1B7935,Analog/Mixed Signal,L1,Low,EMEA,Belgium,Belgium - All,NA,160.00
A2B7936,Analog/Mixed Signal,L2,Low,EMEA,Belgium,Belgium - All,NA,160.00
A3B7937,Analog/Mixed Signal,L3,Low,EMEA,Belgium,Belgium - All,NA,160.00
A4B7938,Analog/Mixed Signal,L4,Low,EMEA,Belgium,Belgium - All,NA,160.00
A5B7939,Analog/Mixed Signal,L5,Low,EMEA,Belgium,Belgium - All,NA,160.00
A1C8615,Analog/Mixed Signal,L1,Low,LatAm,Chile,Chile - All,NA,NA
A2C8616,Analog/Mixed Signal,L2,Low,LatAm,Chile,Chile - All,NA,NA
A3C8617,Analog/Mixed Signal,L3,Low,LatAm,Chile,Chile - All,NA,NA
A4C8618,Analog/Mixed Signal,L4,Low,LatAm,Chile,Chile - All,NA,NA
A5C8619,Analog/Mixed Signal,L5,Low,LatAm,Chile,Chile - All,NA,NA
A1F8020,Analog/Mixed Signal,L1,Low,EMEA,France,France - All,NA,160.00
A2F8021,Analog/Mixed Signal,L2,Low,EMEA,France,France - All,NA,160.00
A3F8022,Analog/Mixed Signal,L3,Low,EMEA,France,France - All,NA,160.00
A4F8023,Analog/Mixed Signal,L4,Low,EMEA,France,France - All,NA,160.00
A5F8024,Analog/Mixed Signal,L5,Low,EMEA,France,France - All,NA,160.00
A1M8700,Analog/Mixed Signal,L1,Low,NA,Mexico,Mexico - All,NA,160.00
